slug,title,industry,application,material,tolerance,quantity,leadTime,hasProvenance,provenanceKeys
5-axis-structural-bracket,Complex 5-Axis Titanium Structural Bracket — Single-Setup Consolidation,aerospace,Aerospace structural bracket,Ti-6Al-4V (Grade 5),±0.05 mm,"1,200 units/year",5-6 weeks,false,
aerospace-bracket-case,Aerospace Structural Bracket - 5-Axis Case Study,aerospace,Structural Wing Bracket,Grade 5 Ti-6Al-4V,±0.005 mm,,15 business days,false,
aerospace-thin-wall-housing,Thin-Wall Aerospace Housing — Distortion Control via Symmetric Machining,aerospace,Aerospace avionics enclosure housing,Ti-6Al-4V (Grade 5),±0.025 mm,500 units/year,6-8 weeks,false,
complex-5-axis-titanium-bracket,Complex 5-Axis Titanium Structural Bracket — Multi-Setup Elimination,aerospace,Aerospace structural bracket,Ti-6Al-4V (Grade 5),±0.05 mm,"1,200 units/year",5-6 weeks,false,
grade-23-orthopedic-component,Grade 23 Orthopedic Implant Component — Surface Integrity,medical,Knee implant femoral component,Ti-6Al-4V ELI (Grade 23),±0.01 mm,"2,000 units/year",3-4 weeks,false,
medical-fixture,Medical Implant Fixture — Micro-Machining Precision at ±0.005mm,medical,Surgical implant positioning fixture,Ti-6Al-4V ELI (Grade 23),±0.005 mm,200 units/year,4-6 weeks,false,
medical-implant-dmls-case,Patient-Specific Cranial Implant DMLS - Case Study,medical,Cranial Implant,Grade 23 Ti-6Al-4V ELI,,,5 business days,false,
medical-implant-fixture,Medical Implant Fixture — Micro-Machining Precision,medical,Surgical implant positioning fixture,Ti-6Al-4V ELI (Grade 23),±0.005 mm,200 units/year,4-6 weeks,false,
medical-instrument-case,Surgical Instrument Set - Titanium Case Study,medical,Surgical Instruments,Grade 5 Ti-6Al-4V,,,,false,
oil-gas-downhole-case,Downhole Oil and Gas Titanium Component - Case Study,industrial,Downhole Component,Grade 23 Ti-6Al-4V ELI,,,,false,
orthopedic-component,Grade 23 Orthopedic Implant Component — Surface Integrity for Articulating Surfaces,medical,Knee implant femoral component,Ti-6Al-4V ELI (Grade 23),±0.01 mm,"2,000 units/year",3-4 weeks,false,
semiconductor-chamber-case,Semiconductor Vacuum Chamber Component - Case Study,semiconductor,UHV Chamber Component,Grade 5 Ti-6Al-4V,±0.005 mm,,,false,
semiconductor-vacuum-component,Semiconductor Vacuum Chamber Component — Weld Distortion Control,semiconductor,Vacuum chamber sub-assembly,Grade 2 Titanium (Commercially Pure),±0.05 mm,80 units/year,10-12 weeks,false,
thin-wall-aerospace-housing,Thin-Wall Aerospace Housing — Distortion Control,aerospace,Aerospace housing component,Ti-6Al-4V (Grade 5),±0.025 mm,500 units/year,6-8 weeks,false,
titanium-exhaust-system,Titanium Exhaust System - Automotive Case Study,industrial,Automotive Exhaust System,Grade 2 + Grade 5,,,,false,
